,VTM,,
Compound,20191022 126 VTM BLANK-r001,20191022 126 VTM BLANK-r002,20191022 126 VTM BLANK-r003
11.60_317.1634m/z,10609.37682,10606.24051,10665.90267
9.96_684.0551n,18806.90762,19039.87866,19282.34344
17.50_130.9651m/z,12411.89914,12961.35289,12881.24605
12.47_214.2531m/z,14401.78435,14347.82139,14504.17289
9.97_662.7339m/z,20017.69994,20215.84873,20284.98109
9.13_729.3249m/z,8629.888057,8448.687612,8329.241593
11.95_510.3771n,22597.22183,22843.18858,22511.6507
10.39_204.1234m/z,452.025535,505.8629458,369.5737081
10.04_780.4655m/z,20476.35885,20409.91289,20458.578
9.70_706.4351m/z,22264.57736,22501.63623,22395.53934
11.94_184.1577n,10645.36787,10586.12533,10607.60958
6.10_878.3169m/z,5305.307703,5342.28906,5410.04242
9.83_361.2149n,16300.8174,16579.77244,16344.23151
19.25_167.0565m/z,11028.06824,11289.80494,10925.68862
11.86_129.1024m/z,14000.7023,13762.93786,13445.90689
9.73_468.3005m/z,22214.72164,21934.03019,22743.1034
5.98_747.6147m/z,10024.64015,9748.62546,9987.997941
9.75_357.2365m/z,15986.01211,16025.48642,16087.82574
10.01_724.7786m/z,20980.55768,21289.3294,20117.15344
9.38_1003.5828m/z,18690.27783,18675.29449,18760.81716
8.70_370.3182n,16536.75935,14989.85234,16191.16201
9.22_795.4632m/z,22026.44834,22537.61496,22228.89195
9.68_564.8473n,23522.17673,23598.33665,23708.24699
1.55_154.0744n,23557.18328,23675.79906,23639.29952
0.87_85.0285m/z,14016.49795,14121.63636,14495.1893
12.10_271.2349m/z,13215.95919,13225.21315,13086.03817
7.90_663.2217m/z,20202.14338,20332.37136,20481.98983
2.55_184.0581m/z,21664.64843,21413.50251,21573.07127
10.03_765.7963n,20146.95428,18534.22814,19429.00653
9.67_317.1882n,16872.97862,16631.62774,16917.38076
9.24_311.1486m/z,12089.96423,12045.47973,12115.30038
9.61_449.7604n,24434.27387,24004.69828,24625.79876
5.84_498.9012m/z,21893.16717,22113.92064,22156.49776
10.04_713.7534n,21716.80147,21670.71636,21834.75309
0.86_307.1028m/z,14587.63437,14779.4642,15024.03938
9.51_453.7791n,24522.35809,24502.31138,24690.22952
9.82_760.4605m/z,21765.21986,21606.37987,21537.1932
2.41_147.1265m/z,21138.72989,21496.40407,22086.56639
9.81_539.3265m/z,23996.34299,23920.74605,24185.92979
5.92_719.0540m/z,13117.48467,13374.40849,13077.39804
6.02_973.7026m/z,7108.547314,7195.276273,6861.322607
11.02_274.1784n,6955.808976,6827.494695,6612.828037
8.42_365.2317n,23957.81835,23509.95751,23196.75318
6.00_877.6548m/z,8791.644001,8729.497614,8700.72337
9.83_745.9461n,24249.50865,23532.03371,24181.85479
9.55_549.3271m/z,25358.25628,25438.25895,25760.95311
7.07_400.9777m/z,13753.44515,13981.25414,13770.32197
10.33_245.1263m/z,4093.784941,3952.724887,3925.240865
9.37_486.7840m/z,25749.29591,25669.6669,25803.25544
9.63_604.8589m/z,25791.05527,25957.02933,25735.22324
9.70_659.8907m/z,25985.41036,25576.44025,26079.4197
9.86_579.3672m/z,24298.47294,24252.90463,24528.92117
9.94_635.0485n,22980.99486,23381.34798,22968.06527
6.09_1041.3292m/z,12481.18702,12201.35393,12584.51713
9.92_600.6816n,21455.9411,22120.00399,22519.34715
10.03_761.1067n,22458.60886,21962.46742,22216.22311
6.18_845.3438m/z,26215.33517,26273.29943,25883.28307
11.94_484.3848m/z,26086.23419,26351.64387,26040.49049
8.99_453.2105m/z,7807.010491,7817.140186,8007.358676
9.24_441.7491m/z,26575.86178,26318.43692,26076.72924
12.43_353.2664m/z,16312.01239,16329.98718,15888.95333
9.67_657.8849m/z,26411.18061,26406.19666,26653.46727
4.68_1064.3135m/z,0,0,0
5.96_849.0942m/z,12184.96469,11889.92803,11788.43336
10.01_709.0919n,22899.968,23618.59462,23165.43275
9.71_600.3709m/z,25580.57904,25189.18096,25628.81259
9.69_329.1585m/z,9391.64583,9557.40229,9663.30118
18.89_196.9545m/z,16664.18976,16884.58533,16983.70167
10.02_250.1782n,2577.515238,2341.162,2357.818019
9.74_619.8759n,26766.75346,26854.85926,27382.35269
7.07_482.9408m/z,12659.07578,12827.74496,12775.72022
10.03_729.1162m/z,23620.17487,23531.11957,23546.78708
10.04_771.1360n,23949.90016,23552.54887,23733.01536
9.61_601.8693m/z,27246.9146,27504.18914,27197.99459
9.37_375.7321n,26255.34527,26097.73163,25990.84839
9.76_738.9456n,25321.37756,25381.96648,26115.01511
9.62_515.8201m/z,26778.34261,27094.4907,26911.71883
7.90_106.0866m/z,147.0283175,148.8931512,72.34822016
2.83_210.0989n,27988.9171,27543.22268,28033.46878
9.70_705.9364m/z,26765.5213,26632.21213,26745.86194
11.71_722.4221n,28207.56335,28340.82469,28366.16494
9.63_631.3636m/z,28571.6647,28425.80877,27971.84983
9.91_660.9083n,25080.08374,26212.55605,25594.53381
14.28_700.2339m/z,0,0,0
7.03_829.1712m/z,20898.97162,20744.3618,20660.10427
9.81_823.9833n,25471.16918,24452.43876,25136.50918
5.99_945.1400m/z,9606.470351,9667.184354,9340.901686
9.31_437.7562m/z,28203.22004,28818.89219,28807.04972
9.97_734.0796n,24681.83011,25783.69284,26198.74714
7.49_132.0774m/z,19728.2247,19821.45212,19768.91498
3.24_134.0944n,5366.187278,5419.360105,5560.348375
8.14_515.2835m/z,29068.50817,28839.0377,28531.69839
9.94_618.0493m/z,25070.86818,25225.51269,25137.22145
6.93_853.8319m/z,24178.47821,24581.01606,24113.01797
5.98_713.6210m/z,12123.78151,12084.81528,11571.7803
11.94_422.2943n,28817.44921,29284.9737,29222.39227
18.20_183.0497m/z,19627.16631,19899.97923,19507.96763
11.82_443.2877m/z,21783.2638,22024.72141,22052.12122
10.01_692.0941m/z,25420.49106,25714.64591,24962.13104
5.95_951.0747m/z,15474.26063,15463.7091,15257.40047
9.82_768.4714m/z,27207.30134,27390.75042,27632.64637
6.09_651.2098m/z,15228.60045,15469.21656,15264.26795
9.99_672.0696n,26023.72991,26541.72008,26006.411
9.43_404.7525m/z,28774.19074,28503.37486,28445.66256
9.96_737.9503n,28061.63205,27071.68317,28081.52871
10.10_895.5277m/z,24846.50723,25372.94891,22626.33975
9.98_655.0718m/z,25748.52012,26539.85753,25940.4954
9.51_671.3881m/z,30414.56248,29779.26861,30638.62259
9.91_612.7055n,27799.08126,27279.69621,28231.9579
9.38_497.2815m/z,31132.05101,30587.72767,30945.2537
